mouse_id,AL,20,40,1D,2D
DO-2D-4124,0,0,0,0,1
DO-2D-4125,0,0,0,0,1
DO-2D-4126,0,0,0,0,1
DO-2D-4127,0,0,0,0,1
DO-2D-4128,0,0,0,0,1
DO-2D-4129,0,0,0,0,1
DO-2D-4130,0,0,0,0,1
DO-2D-4131,0,0,0,0,1
DO-2D-4132,0,0,0,0,1
DO-2D-4133,0,0,0,0,1
DO-2D-4134,0,0,0,0,1
DO-2D-4135,0,0,0,0,1
DO-2D-4136,0,0,0,0,1
DO-2D-4137,0,0,0,0,1
DO-2D-4138,0,0,0,0,1
DO-2D-4139,0,0,0,0,1
DO-2D-4140,0,0,0,0,1
DO-2D-4141,0,0,0,0,1
DO-2D-4142,0,0,0,0,1
DO-2D-4143,0,0,0,0,1
DO-2D-4144,0,0,0,0,1
DO-2D-4145,0,0,0,0,1
DO-2D-4146,0,0,0,0,1
DO-2D-4147,0,0,0,0,1
DO-2D-4148,0,0,0,0,1
DO-2D-4149,0,0,0,0,1
DO-2D-4150,0,0,0,0,1
DO-2D-4151,0,0,0,0,1
DO-2D-4152,0,0,0,0,1
DO-2D-4153,0,0,0,0,1
DO-2D-4154,0,0,0,0,1
DO-2D-4155,0,0,0,0,1
DO-2D-4156,0,0,0,0,1
DO-2D-4157,0,0,0,0,1
DO-2D-4158,0,0,0,0,1
DO-2D-4159,0,0,0,0,1
DO-2D-4160,0,0,0,0,1
DO-2D-4161,0,0,0,0,1
DO-2D-4162,0,0,0,0,1
DO-2D-4163,0,0,0,0,1
DO-2D-4164,0,0,0,0,1
DO-2D-4165,0,0,0,0,1
DO-2D-4166,0,0,0,0,1
DO-2D-4167,0,0,0,0,1
DO-2D-4168,0,0,0,0,1
DO-2D-4169,0,0,0,0,1
DO-2D-4170,0,0,0,0,1
DO-2D-4171,0,0,0,0,1
DO-2D-4172,0,0,0,0,1
DO-2D-4173,0,0,0,0,1
DO-2D-4174,0,0,0,0,1
DO-2D-4175,0,0,0,0,1
DO-2D-4176,0,0,0,0,1
DO-2D-4177,0,0,0,0,1
DO-2D-4178,0,0,0,0,1
DO-2D-4179,0,0,0,0,1
DO-2D-4180,0,0,0,0,1
DO-2D-4181,0,0,0,0,1
DO-2D-4182,0,0,0,0,1
DO-2D-4183,0,0,0,0,1
DO-2D-4184,0,0,0,0,1
DO-2D-4185,0,0,0,0,1
DO-2D-4186,0,0,0,0,1
DO-2D-4187,0,0,0,0,1
DO-2D-4188,0,0,0,0,1
DO-2D-4189,0,0,0,0,1
DO-2D-4190,0,0,0,0,1
DO-2D-4191,0,0,0,0,1
DO-2D-4192,0,0,0,0,1
DO-40-2001,0,0,1,0,0
DO-40-2002,0,0,1,0,0
DO-40-2003,0,0,1,0,0
DO-40-2004,0,0,1,0,0
DO-40-2005,0,0,1,0,0
DO-40-2006,0,0,1,0,0
DO-40-2007,0,0,1,0,0
DO-40-2008,0,0,1,0,0
DO-40-2009,0,0,1,0,0
DO-40-2010,0,0,1,0,0
DO-40-2011,0,0,1,0,0
DO-40-2012,0,0,1,0,0
DO-40-2013,0,0,1,0,0
DO-40-2014,0,0,1,0,0
DO-40-2015,0,0,1,0,0
DO-40-2016,0,0,1,0,0
DO-40-2017,0,0,1,0,0
DO-40-2018,0,0,1,0,0
DO-40-2019,0,0,1,0,0
DO-40-2020,0,0,1,0,0
DO-40-2021,0,0,1,0,0
DO-40-2022,0,0,1,0,0
DO-40-2023,0,0,1,0,0
DO-40-2024,0,0,1,0,0
DO-40-2025,0,0,1,0,0
DO-40-2026,0,0,1,0,0
DO-40-2027,0,0,1,0,0
DO-40-2028,0,0,1,0,0
